query_id,AP_vec,AP_bm25,diff
116,0.0399290106434162,0.0334212171733038,-0.006507793470112405
135,0.6176205738705738,0.6111645299145299,-0.006456043956043933
157,0.2529319594866778,0.2475646086448205,-0.005367350841857299
123,0.1009615384615384,0.0958333333333333,-0.005128205128205096
128,0.0253763440860215,0.0202637889688249,-0.005112555117196601
35,0.0294447820221016,0.0250652783859614,-0.004379503636140199
117,0.0616666666666666,0.0584415584415584,-0.0032251082251082003
30,0.048800830604143,0.0463979521045789,-0.0024028784995641025
87,0.0157811410802993,0.0134487947829113,-0.0023323462973880004
196,0.1934893240100146,0.1913231960461746,-0.0021661279638399977
207,0.0097756069129603,0.0076293960418222,-0.0021462108711381
152,0.0118141236345721,0.0097158665689611,-0.002098257065611
74,0.1274492514288432,0.1255193677711678,-0.0019298836576754075
28,0.0070925553319919,0.005252501347638,-0.0018400539843539
188,0.3961866491362042,0.3952499315547319,-0.0009367175814722906
71,0.0415379797198324,0.0408280093187218,-0.0007099704011106003
22,0.0010111223458038,0.0009596928982725,-5.1429447531300076e-05
31,0.0007407407407407,0.0007272727272727,-1.3468013468000031e-05
44,0.0017677947989938,0.0017623279246439,-5.466874349899968e-06
172,0.6791666666666667,0.6791666666666667,0.0
93,0.5,0.5,0.0
19,0.0160069429481804,0.0161888679982588,0.00018192505007840268
124,0.0044113527112782,0.0046017014418866,0.00019034873060840007
158,0.2295863111968615,0.229829598989258,0.0002432877923965182
216,0.0018726591760299,0.0027247956403269,0.000852136464297
13,0.0036216248704628,0.0046272091572128,0.0010055842867500004
83,0.259427509657931,0.2608609013165834,0.0014333916586524165
199,0.1243462886788691,0.1260837825696316,0.0017374938907624982
225,0.066471130706631,0.0684702749755954,0.0019991442689644007
139,0.0069508301428345,0.0093949556622034,0.0024441255193688996
79,0.0514203657752044,0.053937628928528,0.0025172631533235956
2,0.1961629943535446,0.1989844763322376,0.0028214819786930023
9,0.022437971952535,0.0253078371722439,0.0028698652197088996
147,0.2703111442588772,0.2738260499719969,0.003514905713119687
175,0.0534160505819535,0.0571944196944197,0.0037783691124661997
194,0.168930568499534,0.1730765149882797,0.004145946488745694
55,0.2449699572887978,0.2492349677036492,0.004265010414851389
103,0.0057241379310344,0.0125443262411347,0.0068201883101003
109,0.0289968116090278,0.0365166015261399,0.007519789917112097
38,0.0455144376909656,0.053434878267154,0.007920440576188396
20,0.5067896018047074,0.5150376857257591,0.008248083921051697
11,0.164846473670003,0.1731081410658875,0.00826166739588452
89,0.1511267306473564,0.1600053637882585,0.008878633140902092
215,0.0480549199084668,0.0569800569800569,0.008925137071590095
195,0.0646229936543486,0.0747987927565392,0.010175799102190589
113,0.1609033321763276,0.1711983577110598,0.010295025534732188
176,0.0848499888049281,0.0954661699292444,0.010616181124316296
185,0.8180962555962554,0.8296957671957671,0.01159951159951167
151,0.0204603016612889,0.0326342982886539,0.012173996627365
51,0.5538567467070019,0.5667446813805804,0.012887934673578516
56,0.1076219721022776,0.1208449400414265,0.0132229679391489
138,0.1149068322981366,0.1285714285714286,0.013664596273291987
98,0.0163899953417287,0.0326336132836217,0.016243617941893003
181,0.2517893186102042,0.2689941737199713,0.017204855109767103
27,0.0646003008291143,0.0822953865807275,0.0176950857516132
29,0.3447380510085436,0.3632918050539684,0.01855375404542481
213,0.5673954891713875,0.5862221655102453,0.018826676338857817
119,0.0714285714285714,0.0909090909090909,0.0194805194805195
105,0.4251372549019607,0.4446666666666666,0.019529411764705906
63,0.0373765325339175,0.0575351935646053,0.0201586610306878
47,0.3179223469068479,0.3383695503062799,0.020447203399432012
203,0.1008874800710459,0.1217008753099886,0.020813395238942697
142,0.0625,0.0833333333333333,0.0208333333333333
100,0.2156305923002714,0.2366081673470689,0.02097757504679751
108,0.7428880643166356,0.7640288283145426,0.021140763997906986
131,0.2429574781548465,0.26519483558001,0.0222373574251635
189,0.0671882482459769,0.0899082856517003,0.022720037405723398
166,0.0257544119462013,0.0493212857357892,0.0235668737895879
156,0.5398830645524039,0.5638907893507528,0.024007724798348895
50,0.07647854542014,0.1018139118580329,0.0253353664378929
53,0.2338865899755235,0.2611159376014485,0.02722934762592502
107,0.2661433804290947,0.2952355319431491,0.02909215151405442
